ax,ay,az,gx,gy,gz
4360.0,-356.0,12224.0,-19436.0,32767.0,-21684.0
-2416.0,-1844.0,1184.0,-15636.0,32767.0,-20822.0
-10804.0,-8324.0,-1864.0,-5489.0,32767.0,-13511.0
-9644.0,-7376.0,-2576.0,2098.0,-2665.0,-2703.0
-11464.0,-11764.0,-1148.0,4266.0,-32768.0,9377.0
-6752.0,-8032.0,7400.0,15636.0,-32768.0,27782.0
6988.0,1996.0,12516.0,12180.0,-32768.0,31488.0
17588.0,15824.0,10784.0,14698.0,-32768.0,21016.0
32072.0,19660.0,31888.0,5328.0,-23099.0,-393.0
21712.0,11248.0,32767.0,-22191.0,30725.0,-10820.0
10032.0,2576.0,19396.0,-14554.0,32767.0,-24676.0
1124.0,-3328.0,10180.0,-10568.0,32767.0,-22848.0
-4752.0,-2356.0,-2252.0,-8876.0,32767.0,-19704.0
-12172.0,-10748.0,-1880.0,-3496.0,5372.0,-5265.0
-8256.0,-7456.0,-4092.0,6151.0,-32768.0,6531.0
-8496.0,-8684.0,6816.0,10839.0,-32768.0,15009.0
1512.0,-2888.0,11276.0,22339.0,-32768.0,29628.0
17884.0,11904.0,9500.0,13140.0,-32768.0,23868.0
20028.0,9232.0,19868.0,21213.0,-32768.0,4649.0
31840.0,17592.0,22040.0,-6743.0,1677.0,545.0
26036.0,12068.0,25300.0,-17272.0,25054.0,-7041.0
19468.0,6680.0,22292.0,-22194.0,32767.0,-12416.0
4844.0,-1004.0,10328.0,-20533.0,32767.0,-17120.0
-3368.0,-2248.0,3304.0,-10372.0,32767.0,-15889.0
-8040.0,-4820.0,-1280.0,-9213.0,27903.0,-10906.0
-12280.0,-9928.0,-1248.0,4635.0,-9491.0,-2904.0
-10824.0,-8360.0,1356.0,2468.0,-32768.0,12717.0
-6484.0,-6828.0,3660.0,23326.0,-32768.0,25632.0
13048.0,4712.0,14544.0,20937.0,-32768.0,22036.0
27540.0,15388.0,15436.0,13046.0,-32768.0,3384.0
31788.0,19428.0,14588.0,14547.0,-20423.0,-1086.0
31620.0,11412.0,24568.0,-18333.0,25508.0,-2595.0
23028.0,9144.0,19212.0,-31868.0,32767.0,-10358.0
2708.0,-3428.0,2296.0,-26514.0,32767.0,-18111.0
-4004.0,-2860.0,2712.0,-18526.0,32767.0,-12881.0
-10460.0,-4528.0,-3636.0,-565.0,25683.0,-12663.0
-15864.0,-12508.0,-2652.0,1624.0,-22849.0,6034.0
-9488.0,-5288.0,-816.0,9321.0,-32768.0,17173.0
-104.0,-4572.0,9940.0,28567.0,-32768.0,19935.0
16112.0,9084.0,11480.0,21005.0,-32768.0,11107.0
29184.0,13048.0,30280.0,4105.0,-16093.0,1416.0
32232.0,16608.0,30836.0,-20413.0,25047.0,-5025.0
15964.0,3340.0,20948.0,-18993.0,32767.0,-10940.0
7088.0,1144.0,9048.0,-14371.0,32767.0,-15634.0
-9620.0,-5484.0,-6828.0,-16718.0,32767.0,-11053.0
-11568.0,-6420.0,440.0,-5176.0,17143.0,-4158.0
-13384.0,-7024.0,-5116.0,6815.0,-20797.0,-4597.0
-10404.0,-8948.0,6288.0,13215.0,-32768.0,10000.0
-5340.0,-5072.0,8348.0,23579.0,-32768.0,25099.0
11288.0,1652.0,13196.0,23697.0,-32768.0,19734.0
30572.0,19856.0,18464.0,13511.0,-30213.0,8559.0
29052.0,7652.0,30188.0,-15020.0,3579.0,-1330.0
27308.0,15372.0,23020.0,-19277.0,32767.0,-7713.0
11004.0,-112.0,20512.0,-16485.0,32767.0,-19291.0
-2808.0,-2612.0,1296.0,-20824.0,32767.0,-9911.0
-8952.0,-3872.0,-2552.0,-7987.0,32767.0,-8211.0
-12788.0,-6944.0,-4144.0,-1806.0,10821.0,-12691.0
-12684.0,-8980.0,-3328.0,3353.0,-23818.0,-2470.0
-11628.0,-11088.0,6320.0,7479.0,-32768.0,17142.0
-7136.0,-5520.0,3288.0,22234.0,-32768.0,22563.0
13292.0,4340.0,16416.0,20246.0,-32768.0,25238.0
29620.0,17048.0,22556.0,2630.0,-26600.0,5210.0
32767.0,20916.0,32148.0,-14112.0,20027.0,-2251.0
17252.0,3984.0,30852.0,-18415.0,32767.0,-17080.0
4980.0,88.0,11900.0,-16344.0,32767.0,-18047.0
-5668.0,-3512.0,2516.0,-14746.0,32767.0,-7761.0
-9556.0,-4444.0,-1740.0,-5672.0,32767.0,-3057.0
-11300.0,-5484.0,-4608.0,-4453.0,5490.0,-7280.0
-14156.0,-8540.0,-5608.0,-1634.0,-28933.0,-1119.0
-8992.0,-9876.0,4088.0,11740.0,-32768.0,11242.0
188.0,-3516.0,8108.0,25026.0,-32768.0,19339.0
20684.0,5452.0,24564.0,25577.0,-32768.0,12661.0
32767.0,23040.0,25772.0,-1513.0,3242.0,6147.0
20760.0,9264.0,32767.0,-13015.0,25796.0,-12860.0
11292.0,2980.0,22756.0,-19051.0,32767.0,-11508.0
1952.0,-44.0,14872.0,-10957.0,32767.0,-13359.0
-2080.0,-1412.0,172.0,-10505.0,32767.0,-12786.0
-12684.0,-6856.0,-6488.0,-10239.0,27387.0,-8032.0
-12416.0,-7472.0,-6312.0,5112.0,-15684.0,-1633.0
-15204.0,-11736.0,1912.0,9137.0,-32768.0,8229.0
-8468.0,-5272.0,2612.0,18546.0,-32768.0,21982.0
5916.0,1576.0,11504.0,25364.0,-32768.0,17879.0
24244.0,16512.0,17964.0,14470.0,-32768.0,8528.0
32767.0,18632.0,32504.0,-14271.0,17026.0,2228.0
21212.0,12088.0,25940.0,-22803.0,32767.0,-13400.0
6372.0,704.0,17320.0,-17566.0,32767.0,-17490.0
-2940.0,-1488.0,1056.0,-13446.0,32767.0,-17443.0
-12748.0,-7332.0,-3264.0,-11718.0,32407.0,-4761.0
-12644.0,-6848.0,-3560.0,3818.0,-3457.0,-6228.0
-14832.0,-11276.0,-524.0,5072.0,-32768.0,2362.0
-12032.0,-11644.0,6800.0,19228.0,-32768.0,21980.0
76.0,-2864.0,3732.0,29131.0,-32768.0,28866.0
26892.0,15872.0,5880.0,26389.0,-32768.0,20868.0
32767.0,19784.0,23624.0,-7121.0,-12988.0,-2146.0
32767.0,20796.0,26628.0,-28868.0,32767.0,-7209.0
19608.0,3784.0,23920.0,-31313.0,32767.0,-13496.0
4392.0,-1516.0,4940.0,-16849.0,32767.0,-18009.0
-11912.0,-7800.0,-12772.0,-17538.0,32767.0,-3000.0
-12396.0,-7252.0,-9356.0,10041.0,588.0,-458.0
-10812.0,-5160.0,-5012.0,-2075.0,-31199.0,-3866.0
-12720.0,-11864.0,1448.0,16542.0,-32768.0,11749.0
2880.0,128.0,5844.0,21981.0,-32768.0,16626.0
24156.0,8372.0,13444.0,26988.0,-32768.0,13552.0
32767.0,24500.0,17700.0,-754.0,-16365.0,3196.0
32596.0,10116.0,32767.0,-13326.0,18991.0,-8610.0
17932.0,6812.0,23516.0,-20643.0,32767.0,-19668.0
4504.0,-572.0,9264.0,-19442.0,32767.0,-21561.0
-7896.0,-5564.0,-3020.0,-19611.0,32767.0,-11157.0
-10780.0,-6660.0,-1492.0,4143.0,19730.0,-3800.0
-10380.0,-5844.0,-7116.0,-2325.0,-13352.0,-5196.0
-14760.0,-14600.0,2104.0,10720.0,-32768.0,6379.0
-5548.0,-6424.0,6148.0,19219.0,-32768.0,26022.0
6668.0,656.0,3004.0,31400.0,-32768.0,26936.0
32767.0,16156.0,20596.0,13710.0,-32768.0,15900.0
32767.0,29684.0,22916.0,-17703.0,12905.0,534.0
22180.0,8880.0,24092.0,-21326.0,32767.0,-15288.0
10100.0,80.0,24552.0,-19175.0,32767.0,-20177.0
2144.0,-664.0,5960.0,-17197.0,32767.0,-20247.0
-10936.0,-7900.0,-7612.0,-17970.0,32767.0,-11424.0
-11292.0,-9236.0,20.0,-1640.0,16461.0,-5601.0
-11228.0,-8608.0,-4180.0,1034.0,-23249.0,-1692.0
-10496.0,-12144.0,3968.0,12725.0,-32768.0,11171.0
-1116.0,-6708.0,9600.0,26389.0,-32768.0,21880.0
17152.0,7348.0,16028.0,22506.0,-32768.0,30477.0
27444.0,17256.0,17732.0,18675.0,-32768.0,5301.0
32767.0,20868.0,24592.0,-15887.0,22287.0,4466.0
18580.0,9296.0,22516.0,-10545.0,25499.0,-18433.0
11036.0,3016.0,18612.0,-18017.0,32767.0,-20991.0
504.0,-1272.0,9240.0,-17145.0,32767.0,-23152.0
-10048.0,-5720.0,792.0,-15093.0,32767.0,-17169.0
-11960.0,-8840.0,3408.0,-7064.0,20630.0,-9174.0
-13420.0,-10652.0,-3876.0,-27.0,-14683.0,2292.0
-10892.0,-9820.0,8468.0,5329.0,-32768.0,11802.0
-9844.0,-8436.0,7156.0,17208.0,-32768.0,19246.0
4272.0,-1284.0,14132.0,31271.0,-32768.0,27434.0
