ax,ay,az,gx,gy,gz
1944.0,-15940.0,18136.0,-24345.0,-7389.0,-16525.0
-2624.0,-24044.0,16940.0,-8097.0,-8891.0,-12262.0
-1760.0,-23108.0,16856.0,6573.0,5349.0,7513.0
-2248.0,-14780.0,14652.0,14484.0,13206.0,17961.0
-1336.0,-9452.0,14932.0,15981.0,7168.0,25457.0
-3648.0,-2312.0,12780.0,16485.0,5646.0,28396.0
-5536.0,1080.0,12164.0,12631.0,563.0,28624.0
-5940.0,9492.0,14088.0,12393.0,-2334.0,19884.0
-5540.0,14100.0,15816.0,5653.0,-1261.0,6889.0
-5356.0,16580.0,15036.0,218.0,-3791.0,-13657.0
-4212.0,12472.0,14728.0,-12966.0,-7729.0,-26175.0
-1744.0,6108.0,11500.0,-26347.0,-7766.0,-32768.0
1912.0,-6044.0,12284.0,-28040.0,-8114.0,-32768.0
1712.0,-21900.0,16760.0,-32768.0,-5815.0,-13627.0
-2808.0,-27300.0,15664.0,-1169.0,1572.0,-6117.0
-2812.0,-22968.0,14596.0,11060.0,4714.0,15499.0
-1616.0,-14052.0,15148.0,18270.0,7432.0,25095.0
-2944.0,-5200.0,12088.0,23255.0,1061.0,25925.0
-2820.0,2744.0,14760.0,15305.0,1171.0,28078.0
-4920.0,8516.0,15128.0,9490.0,922.0,19578.0
-6108.0,12492.0,16116.0,6342.0,-52.0,4625.0
-6244.0,14124.0,14836.0,-2694.0,-3745.0,-11149.0
-4328.0,6376.0,17052.0,-13127.0,423.0,-18235.0
-5088.0,5208.0,12396.0,-20574.0,-2333.0,-24352.0
-1620.0,-3976.0,14260.0,-23360.0,-4466.0,-27091.0
-2864.0,-9976.0,9508.0,-19196.0,-3890.0,-27649.0
496.0,-24840.0,20156.0,-30641.0,-5707.0,-3080.0
-2724.0,-29692.0,16804.0,7794.0,5454.0,8139.0
-2620.0,-17600.0,12712.0,17730.0,11287.0,26751.0
-2220.0,-10700.0,12772.0,25549.0,1932.0,24439.0
-3136.0,456.0,9280.0,25611.0,-265.0,32767.0
-5064.0,12252.0,11076.0,22915.0,-2990.0,23986.0
-5548.0,21948.0,13872.0,7163.0,-2033.0,4119.0
-3892.0,21188.0,13580.0,-7040.0,-7274.0,-23903.0
-2632.0,10364.0,10604.0,-26205.0,-10275.0,-30730.0
