ax,ay,az,gx,gy,gz
15204.0,-11632.0,26464.0,-10008.0,14623.0,-3827.0
11100.0,-13404.0,19280.0,-3999.0,26660.0,-1891.0
7612.0,-9744.0,16008.0,3246.0,26385.0,3655.0
704.0,-12328.0,12584.0,-1783.0,21864.0,6869.0
2308.0,-5484.0,13120.0,3781.0,16745.0,1700.0
-3508.0,-7984.0,11088.0,-3972.0,17997.0,0.0
-1480.0,-7044.0,11088.0,-2670.0,7292.0,-5941.0
-5380.0,-11072.0,5664.0,-5165.0,-3430.0,-8070.0
-2952.0,-14336.0,4664.0,-7725.0,-23740.0,-6091.0
1264.0,-10588.0,4668.0,6715.0,-32768.0,-7379.0
7664.0,-13040.0,10300.0,8933.0,-32768.0,-4515.0
12384.0,-1460.0,8792.0,-2392.0,-32768.0,1854.0
21528.0,-9556.0,24928.0,1569.0,-22045.0,3897.0
19784.0,-7868.0,31068.0,11454.0,5363.0,5823.0
20108.0,-5116.0,29916.0,6265.0,32767.0,4083.0
10204.0,-6140.0,19436.0,2956.0,28849.0,-2741.0
6892.0,-7060.0,21448.0,-3656.0,31791.0,-1686.0
1816.0,-5472.0,11564.0,-6083.0,32767.0,-1106.0
-1396.0,-8092.0,9476.0,-8424.0,22428.0,-354.0
-3988.0,-8364.0,2192.0,-11645.0,4786.0,-3417.0
-5620.0,-14220.0,856.0,-6554.0,-11642.0,-6921.0
124.0,-16280.0,-64.0,-7296.0,-20048.0,-2201.0
3792.0,-13376.0,5220.0,1771.0,-32768.0,-6119.0
7584.0,-10516.0,8580.0,9363.0,-32768.0,-5051.0
13044.0,-6556.0,16804.0,9462.0,-32583.0,-1562.0
10228.0,-3560.0,16700.0,6440.0,-32768.0,-975.0
21864.0,-8716.0,32767.0,1083.0,-10987.0,3059.0
22332.0,-6336.0,32767.0,7399.0,29612.0,-3114.0
9576.0,-7412.0,21632.0,-3754.0,32767.0,-2978.0
11752.0,-5104.0,19760.0,-300.0,32767.0,-4448.0
4748.0,-2864.0,8216.0,-11700.0,32767.0,-4755.0
-124.0,-9964.0,9712.0,-6838.0,19566.0,-7608.0
-4668.0,-14284.0,444.0,-16841.0,7164.0,-6658.0
-1388.0,-13516.0,3136.0,-12578.0,-7985.0,-6241.0
-360.0,-16688.0,4772.0,699.0,-20223.0,-3745.0
3480.0,-11744.0,6532.0,4423.0,-26046.0,-86.0
4980.0,-9940.0,8448.0,12107.0,-26284.0,-318.0
5776.0,-6188.0,11472.0,21255.0,-32570.0,428.0
8772.0,-3180.0,13324.0,11808.0,-32768.0,4320.0
16060.0,-2924.0,21628.0,2600.0,-32768.0,400.0
22896.0,-7432.0,24148.0,-4961.0,-18732.0,11.0
23932.0,-8720.0,28772.0,2592.0,9255.0,-1442.0
16564.0,-3608.0,20512.0,-5266.0,32767.0,-2731.0
16744.0,-7220.0,24704.0,-8658.0,32767.0,-5428.0
10812.0,-5988.0,13928.0,-10885.0,32767.0,-1516.0
1088.0,-8384.0,7852.0,-2663.0,32767.0,-7017.0
