ax,ay,az,gx,gy,gz
-2808.0,2284.0,18420.0,-523.0,-141.0,376.0
-2788.0,2148.0,18996.0,-940.0,-335.0,167.0
-3080.0,2168.0,18264.0,-1433.0,-292.0,-438.0
-2760.0,2284.0,18664.0,-697.0,-805.0,-419.0
-2728.0,2460.0,18396.0,-794.0,-511.0,-585.0
-2476.0,2368.0,19056.0,-927.0,-250.0,-534.0
-2604.0,2008.0,19160.0,-984.0,137.0,-654.0
-2812.0,1980.0,18756.0,-1000.0,-25.0,-416.0
-3092.0,1948.0,18284.0,-1781.0,709.0,-371.0
-2908.0,1748.0,18676.0,-1103.0,-181.0,-324.0
-2876.0,2112.0,18676.0,-1229.0,-208.0,-518.0
-2816.0,2088.0,18628.0,-1108.0,-76.0,-171.0
-2816.0,2240.0,18636.0,-641.0,-203.0,-728.0
-2956.0,1632.0,19296.0,-961.0,18.0,-456.0
-2536.0,2400.0,18592.0,-880.0,344.0,-643.0
-2656.0,2368.0,18320.0,-988.0,103.0,-1190.0
-2568.0,2032.0,18416.0,-854.0,15.0,-1195.0
-2328.0,1940.0,19060.0,-1409.0,1605.0,-1380.0
-3216.0,1548.0,18632.0,-2456.0,2427.0,-1771.0
-3988.0,972.0,18652.0,-2797.0,1736.0,-282.0
-3552.0,1596.0,18856.0,-2414.0,1623.0,-160.0
-3660.0,1612.0,17572.0,-2914.0,2888.0,-471.0
-3976.0,292.0,18884.0,-3626.0,2531.0,-385.0
-3296.0,864.0,19000.0,-3006.0,2912.0,-616.0
-2948.0,1056.0,19964.0,-4525.0,6983.0,-1880.0
-4328.0,1944.0,17692.0,-3623.0,14435.0,-7511.0
-6024.0,1056.0,16800.0,-916.0,20434.0,-13736.0
-16500.0,-2940.0,8520.0,-2605.0,16618.0,-10752.0
-18256.0,-5932.0,10688.0,-4700.0,5088.0,-1615.0
-20704.0,-7280.0,-284.0,3731.0,-30195.0,6931.0
-4268.0,-2944.0,5776.0,2513.0,-32768.0,8610.0
8500.0,-1652.0,17008.0,13142.0,-32768.0,3452.0
25124.0,7080.0,9412.0,-13822.0,-32768.0,-2734.0
25172.0,-2324.0,24032.0,-7366.0,-27422.0,-9352.0
25212.0,3648.0,20904.0,1477.0,1765.0,-8213.0
20932.0,3176.0,22396.0,-10412.0,32767.0,-3282.0
4568.0,-2368.0,17156.0,-9840.0,32767.0,3.0
-16596.0,-3000.0,2932.0,10889.0,32767.0,-8442.0
-21352.0,-7152.0,9104.0,-15389.0,28414.0,4305.0
-19520.0,-6488.0,9820.0,-704.0,15600.0,8387.0
-15604.0,-1712.0,-3552.0,-3512.0,-13766.0,8351.0
-12548.0,-8264.0,3224.0,-7205.0,-32768.0,12286.0
4508.0,-1652.0,2896.0,2503.0,-32768.0,6347.0
14140.0,-4980.0,15028.0,-1663.0,-32768.0,4354.0
26264.0,3376.0,13868.0,-8630.0,-32768.0,-1918.0
20512.0,-1612.0,21136.0,-4960.0,-21859.0,-8677.0
23028.0,1576.0,27236.0,-3306.0,13710.0,-6617.0
10684.0,584.0,23248.0,-959.0,32767.0,4744.0
552.0,3332.0,16088.0,8595.0,32767.0,2394.0
-16912.0,2564.0,8120.0,-6006.0,32767.0,-2391.0
-15668.0,-476.0,17444.0,-15937.0,32767.0,-5759.0
-19184.0,-3016.0,4392.0,-4244.0,26336.0,-1912.0
-17464.0,-4552.0,-5512.0,838.0,-11912.0,-2644.0
-14056.0,-7448.0,2556.0,1654.0,-32768.0,8543.0
-5000.0,-940.0,1800.0,11575.0,-32768.0,732.0
8732.0,-2600.0,11664.0,806.0,-32768.0,4492.0
21840.0,-196.0,16912.0,-8616.0,-32768.0,-4029.0
21236.0,-652.0,16068.0,-946.0,-31991.0,-1627.0
21192.0,1136.0,18788.0,-2477.0,-15185.0,-6419.0
19448.0,2692.0,22860.0,2890.0,16254.0,-7194.0
11380.0,3252.0,22008.0,-7573.0,32767.0,6135.0
3468.0,3404.0,20120.0,4262.0,32767.0,3181.0
-12040.0,364.0,13704.0,-485.0,32767.0,-9286.0
-16760.0,-1272.0,12992.0,-11572.0,32767.0,-4381.0
-15628.0,-3836.0,11076.0,-9440.0,26090.0,-2074.0
-17388.0,-5424.0,3304.0,-4908.0,17112.0,-719.0
-10976.0,-3236.0,5884.0,626.0,-5597.0,223.0
-16464.0,-9388.0,-848.0,-2628.0,-24662.0,6675.0
-1180.0,-1420.0,5652.0,4817.0,-32768.0,5956.0
