ax,ay,az,gx,gy,gz
-2760.0,-1568.0,18980.0,-834.0,-99.0,-147.0
-2856.0,-836.0,18680.0,-1038.0,-99.0,64.0
-2656.0,-940.0,19128.0,-1088.0,46.0,-417.0
-2912.0,-1296.0,18688.0,-1196.0,8.0,-206.0
-2064.0,-1076.0,19496.0,-1985.0,1143.0,-108.0
1884.0,-904.0,26532.0,-79.0,9272.0,-242.0
-4276.0,1708.0,15500.0,-3813.0,11003.0,-4141.0
-3292.0,-3912.0,20456.0,-2359.0,16268.0,-3853.0
-4020.0,-3688.0,24656.0,-621.0,25388.0,-572.0
-12924.0,1584.0,9996.0,-7146.0,19919.0,-1774.0
-10800.0,924.0,10496.0,-13208.0,9151.0,-315.0
-9744.0,-1764.0,8516.0,-10083.0,8255.0,-4830.0
-15324.0,-7952.0,5168.0,-10811.0,4326.0,-3409.0
-15412.0,-8132.0,7504.0,-4422.0,-4394.0,2407.0
-16668.0,-9092.0,6680.0,237.0,-15120.0,10550.0
-14500.0,-2316.0,3340.0,4998.0,-26803.0,9229.0
-6692.0,-204.0,11708.0,4956.0,-28768.0,3686.0
460.0,500.0,15600.0,1224.0,-26211.0,7250.0
9200.0,-1236.0,25596.0,1989.0,-16538.0,-589.0
13880.0,904.0,32196.0,-3186.0,5052.0,-1305.0
6040.0,-820.0,23420.0,-1678.0,17347.0,-9809.0
1892.0,-2508.0,18528.0,-6071.0,32767.0,-8308.0
-15864.0,-2276.0,-768.0,-14441.0,32767.0,-7690.0
-17176.0,-8632.0,3684.0,-2930.0,8611.0,-434.0
-17404.0,-4752.0,5104.0,-1418.0,-2304.0,1103.0
-23692.0,-9072.0,848.0,-761.0,-16285.0,6281.0
-11980.0,-608.0,4860.0,5451.0,-32476.0,3471.0
-4072.0,-36.0,14848.0,4935.0,-32623.0,4406.0
5312.0,-1688.0,20184.0,1826.0,-24271.0,4957.0
8904.0,-232.0,26344.0,-758.0,-12637.0,4922.0
11392.0,-1728.0,27824.0,-351.0,1202.0,-1769.0
8464.0,-1884.0,24660.0,-5564.0,21067.0,-8704.0
-1328.0,-3532.0,17760.0,-5056.0,24069.0,-3011.0
-10292.0,-1660.0,5624.0,-5138.0,30460.0,-2002.0
-13608.0,-1528.0,7880.0,-6985.0,17429.0,-2495.0
-17284.0,-4420.0,5696.0,-5924.0,7776.0,-4587.0
-19424.0,-9412.0,8176.0,-3295.0,-3209.0,482.0
-19088.0,-7116.0,5920.0,5405.0,-18994.0,3907.0
-8548.0,-1816.0,13672.0,8972.0,-24954.0,4721.0
-112.0,2940.0,18048.0,6732.0,-26819.0,3454.0
492.0,-1832.0,15080.0,2604.0,-18495.0,7107.0
10612.0,-1000.0,25708.0,3243.0,-10463.0,-1428.0
10660.0,-1644.0,27944.0,-3939.0,4054.0,-400.0
3240.0,368.0,17764.0,-4258.0,15409.0,-5267.0
2260.0,-1940.0,21532.0,-3020.0,24648.0,-4484.0
-7440.0,-840.0,13368.0,-9187.0,20225.0,-42.0
-14692.0,-4712.0,7484.0,-7885.0,8285.0,1851.0
-12544.0,-3044.0,12332.0,-2446.0,3267.0,-729.0
-17788.0,-4964.0,11300.0,-2129.0,-874.0,2176.0
-16484.0,-3320.0,8540.0,2395.0,-10851.0,429.0
-9908.0,-1344.0,13492.0,4631.0,-17809.0,1427.0
-3164.0,1592.0,15336.0,446.0,-20729.0,-2028.0
-768.0,-2448.0,17220.0,3262.0,-15131.0,598.0
5156.0,-3456.0,24284.0,920.0,-10941.0,1819.0
11132.0,-1936.0,27284.0,-785.0,656.0,2683.0
7696.0,-1056.0,22512.0,172.0,12654.0,-6800.0
1676.0,-2920.0,21492.0,-1062.0,17667.0,-4364.0
-3548.0,-1912.0,16964.0,-2451.0,24642.0,-4937.0
-7012.0,-100.0,12160.0,-8623.0,29645.0,1131.0
-11020.0,-896.0,7456.0,-8777.0,24342.0,-6075.0
-22008.0,-5288.0,588.0,-9157.0,9885.0,-2796.0
-21604.0,-7412.0,2920.0,43.0,-8452.0,377.0
-18128.0,-4020.0,3384.0,3689.0,-21242.0,4988.0
-9352.0,-2152.0,14268.0,5156.0,-29911.0,2961.0
-4460.0,-184.0,17204.0,-1682.0,-23316.0,3696.0
-3032.0,280.0,15748.0,784.0,-14719.0,-1243.0
-112.0,-2684.0,18100.0,664.0,-10068.0,2090.0
7872.0,-3140.0,25256.0,-902.0,-8926.0,1598.0
7980.0,-3488.0,24456.0,-1669.0,1485.0,-136.0
2288.0,-3748.0,17080.0,-2830.0,6052.0,-2388.0
-424.0,-2092.0,18440.0,1134.0,5296.0,-1341.0
-4188.0,-3164.0,19172.0,-2934.0,4920.0,546.0
-7936.0,-316.0,15040.0,57.0,5492.0,1281.0
-7480.0,-1500.0,17336.0,-3867.0,8021.0,952.0
-12512.0,-1660.0,14252.0,-1038.0,3312.0,860.0
-12772.0,-2108.0,14248.0,-1648.0,1134.0,-1730.0
-12868.0,-3064.0,13728.0,1976.0,-2624.0,-2115.0
-9312.0,20.0,13892.0,-1157.0,-5170.0,-303.0
-5176.0,-1672.0,15100.0,1945.0,-15186.0,-3031.0
832.0,-2912.0,18120.0,57.0,-11745.0,-2322.0
4596.0,-2108.0,21164.0,-4766.0,-7439.0,3478.0
8692.0,-2244.0,23056.0,1080.0,-5022.0,-475.0
9572.0,-3036.0,25364.0,-1006.0,3078.0,-1289.0
4856.0,-2272.0,21808.0,-344.0,8083.0,-1987.0
384.0,-1996.0,19500.0,-2239.0,12060.0,1278.0
-5804.0,-564.0,13732.0,-1341.0,8692.0,-547.0
-11132.0,-2084.0,11412.0,-5952.0,7713.0,1220.0
-9528.0,-1360.0,15928.0,-909.0,3114.0,-856.0
-13236.0,-3348.0,15636.0,-745.0,2203.0,-558.0
-13764.0,-3312.0,14120.0,2974.0,-3615.0,-1635.0
-12204.0,-2364.0,13808.0,4054.0,-7103.0,-1957.0
-6112.0,-620.0,17376.0,3991.0,-10903.0,-3238.0
-788.0,940.0,18492.0,-2666.0,-11847.0,1023.0
88.0,-972.0,15176.0,4929.0,-13664.0,-2124.0
9848.0,-1508.0,23596.0,-1361.0,-6990.0,1505.0
11500.0,-636.0,23688.0,-4397.0,-370.0,1753.0
9704.0,-896.0,24100.0,-2046.0,6785.0,-3620.0
3472.0,-1604.0,20444.0,-4296.0,10977.0,-868.0
-848.0,-1344.0,18408.0,-2952.0,14447.0,145.0
-6680.0,-1528.0,15416.0,-6221.0,13112.0,3164.0
-9232.0,-2380.0,14020.0,-2927.0,7069.0,1533.0
-10244.0,-516.0,14300.0,-4058.0,7500.0,2611.0
-13044.0,-4672.0,17148.0,-1332.0,2078.0,1005.0
-14296.0,-1824.0,12500.0,144.0,-1989.0,51.0
-12372.0,-2560.0,12248.0,2030.0,-6285.0,-1151.0
-8644.0,-1580.0,13448.0,6461.0,-11565.0,-2224.0
-1892.0,852.0,18600.0,2350.0,-18178.0,-2253.0
6120.0,-2800.0,21348.0,-1401.0,-13001.0,4807.0
7140.0,724.0,21384.0,2590.0,-2273.0,-5623.0
8236.0,-1616.0,23052.0,-4522.0,2942.0,2776.0
